officename,pincode,officetype,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,relatedheadoffice,discom
Kalwari B.O,283105,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Kamala Nagar S.O (Agra),282004,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2880081,,Agra Fort H.O,TPCL
Kamtari B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Kanjauli B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Karahara B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Karkoli B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Karmyogi Enclave S.O,282005,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,0562-2260290,,Agra Fort H.O,TPCL
Karodhana Kala B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Kathwari B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Kaulara Kalan B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Keetham B.O,282007,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Khanda B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Khandauli S.O,283126,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-94122222,,Agra Fort H.O,TPCL
Khander B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Khandri B.O,282002,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Civil Line S.O (Agra),Agra H.O,TPCL
Kheragarh S.O,283121,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05613-232577,,Agra H.O,TPCL
Kheria B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Kheria B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Khilawali B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Kiraoli S.O,283122,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05613-244450,,Agra H.O,TPCL
Korai B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Kukapur B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Kukthala B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Kukthari B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Kundaul B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Kurra Chittaipur B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Kwari B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Labour Colony S.O (Agra),282004,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-235629,,Agra Fort H.O,TPCL
Ladhu Khera B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Lahra B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Lajpat Kunj S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2521587,,Agra H.O,TPCL
Lakhurani B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Lawyers Colony S.O,282005,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2530640,,Agra Fort H.O,TPCL
Loha Mandi S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2811680,,Agra H.O,TPCL
Mahab B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Maharajpur B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Mahuar B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Mahwatpur B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Maloni B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Malpura B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Malupur B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Malviya Kunj S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2310608,,Agra H.O,TPCL
Mandi Mirja Khan B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Mangrol Jat B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Manikpura B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Mankeda B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Mau B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Medical College S.O (Agra),282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2260344,,Agra H.O,TPCL
Mehdau B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Mehra Chudhary B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Midhakur B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Mihawa B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Mitaoli B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Mukhbar B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Murkia B.O,283102,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Akola S.O (Agra),Agra H.O,TPCL
Murthar Alipur B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
N.M.Palika S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2525734,,Agra H.O,TPCL
N.V.Colony S.O,282004,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2521805,,Agra Fort H.O,TPCL
Nadeem B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Nadgawan B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Nagar B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Nagar Chand B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Nagaria B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Nagla Bari B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Nagla Bel B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Nagla Dulhe Khan B.O,283121,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kheragarh S.O,Agra H.O,TPCL
Nagla Kali B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Nagla Patam B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fetehabad,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Nagla Sabla B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Nahchani B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Nai Ki Mandi S.O,282010,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2260555,,Agra H.O,TPCL
Nainana Jat B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Namner S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2464957,,Agra H.O,TPCL
Naraich B.O,282006,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Naugawan B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
New Agra S.O,282005,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2522177,,Agra Fort H.O,TPCL
Nibohara B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Noni B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Nunhai B.O,282006,B.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Industrial Estate S.O (Agra),Agra Fort H.O,TPCL
P.R.R S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-97190112,,Agra H.O,TPCL
Palia B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Panwari B.O,282007,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Parna B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Pathauli B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Patsal B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Pent Khera B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Pentikhera B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Pharera B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Phool Pur B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Phulatti Bazar S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2266008,,Agra Fort H.O,TPCL
Pidhora B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Pinahat S.O,283123,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05612-244811,,Agra Fort H.O,TPCL
Poiya Tarrakpur B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etdmadpur,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Police Line S.O,282010,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-97197991,,Agra H.O,TPCL
Prathvi Nath Fatak S.O,282010,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2268146,,Agra H.O,TPCL
Pura Guman Singh B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Pura Kanhera B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Pura Tinnet B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Puramana B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Puseta B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
R.B.S.College S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2522581,,Agra H.O,TPCL
Rahlai B.O,283112,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Iradat Nagar S.O,Agra H.O,TPCL
Raibha B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Raja Mandi S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2526843,,Agra H.O,TPCL
Rajora B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Rakabganj S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2463130,,Agra H.O,TPCL
Rampur B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Rasoolpur B.O,283121,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kheragarh S.O,Agra H.O,TPCL
Rasoolpur B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Ratoti B.O,283113,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Bhadrauli S.O,Agra Fort H.O,TPCL
Rawatpara S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2461425,,Agra Fort H.O,TPCL
Reha B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Rehan Kalan B.O,282006,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Yamuna Bridge S.O,Agra Fort H.O,TPCL
Richhpura B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Richoba B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Rithori B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Rohta B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Rojholi B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Rudhmuli B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Runkata B.O,282007,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Sikandra S.O (Agra),Agra Fort H.O,TPCL
Sabora B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Sadar Bazar S.O (Agra),282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2225331,,Agra H.O,TPCL
Sahara B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Sahata B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Saiyan S.O,283124,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05613-247225,,Agra H.O,TPCL
Salemabad B.O,283122,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kiraoli S.O,Agra H.O,TPCL
Samara B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Samsabad S.O,283125,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,05612-253229,,Agra H.O,TPCL
Sandhan B.O,283101,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Achnera S.O,Agra H.O,TPCL
Sanjay Place S.O,282002,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2854461,,Agra H.O,TPCL
Sanjeti B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Sarai B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Sarai Khawaja S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2301916,,Agra H.O,TPCL
Sarendha B.O,283119,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kagrol S.O,Agra H.O,TPCL
Sarendi B.O,283119,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Kagrol S.O,Agra H.O,TPCL
Sawain B.O,283202,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Etmadpur S.O,Agra Fort H.O,TPCL
Semera B.O,283126,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Khandauli S.O,Agra Fort H.O,TPCL
Semri B.O,282009,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,C.O.D. S.O,Agra H.O,TPCL
Seola Jat B.O,282001,B.O directly a/w Head Office,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,,Agra H.O,TPCL
Shahaganj S.O (Agra),282010,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2213498,,Agra H.O,TPCL
Shahi B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Shahpur Brahman B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Shahpur Toola B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Shastripuram S.O,282007,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,,Agra Fort H.O,TPCL
Shiaupura B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Shiv Nagar B.O,283114,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Jaitpur S.O (Agra),Agra Fort H.O,TPCL
Shoe Market S.O,282003,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2260290,,Agra Fort H.O,TPCL
Shyamo B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Sidhaoli B.O,283104,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Bah S.O,Agra Fort H.O,TPCL
Sikandra S.O (Agra),282007,S.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2601337,,Agra Fort H.O,TPCL
Sikraondha B.O,283110,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kiraoli,agra,UTTAR PRADESH,,Fatehapursikari S.O,Agra H.O,TPCL
Sikrara B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Siktara B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Singaich B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,Kheragarh,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Soni Khera B.O,283115,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Jagner S.O,Agra H.O,TPCL
Subji Mandi S.O,282007,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,0562-2260386,,Agra Fort H.O,TPCL
Sultan Pura B.O,282001,B.O directly a/w Head Office,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,,Agra H.O,TPCL
Sunari B.O,283105,B.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,,B.V. Bichpuri S.O,Agra H.O,TPCL
Swara B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
T.P. Nagar S.O,282002,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2601048,,Agra H.O,TPCL
Taj Nagari S.O,282004,S.O,Delivery,Agra,Agra,Uttar Pradesh,Agra,agra,UTTAR PRADESH,0562-2460761,,Agra Fort H.O,TPCL
Taj S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2331135,,Agra H.O,TPCL
Tajganj S.O,282001,S.O,Non-Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,0562-2330136,,Agra H.O,TPCL
Tanora Noorpur B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Tarauli Gujar B.O,283111,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Fatehabad S.O (Agra),Agra Fort H.O,TPCL
Tasond B.O,283123,B.O,Delivery,Agra,Agra,Uttar Pradesh,Bah,agra,UTTAR PRADESH,,Pinahat S.O,Agra Fort H.O,TPCL
Tehra B.O,283124,B.O,Delivery,Agra,Agra,Uttar Pradesh,,agra,UTTAR PRADESH,,Saiyan S.O,Agra H.O,TPCL
Tehu B.O,283201,B.O,Delivery,Agra,Agra,Uttar Pradesh,Etmadpur,agra,UTTAR PRADESH,,Barhan S.O,Agra Fort H.O,TPCL
Thana Shankar Dwari B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
Therai B.O,283125,B.O,Delivery,Agra,Agra,Uttar Pradesh,Fatehabad,agra,UTTAR PRADESH,,Samsabad S.O,Agra H.O,TPCL
